species,year,region,total_catch,total_effort,total_fleet,harvest,landed,wholesale,total_rec.catch,total_rec.effort,active.farms,abundance,genlength,release,temperature,variance,sd,licenses
Chinook,1998,Fraser,13429.31834,5577,NA,0.125211754,0.491903318,0.822820096,NA,NA,NA,343185,5,5339090,5.793741131,8.179312301,2.859949702,1312
Chinook,1998,HG,116085.7875,6193,NA,1.082356131,4.252113371,7.112626002,NA,NA,NA,4500,6,171424,5.793741131,8.179312301,2.859949702,1250
Chinook,1998,Nass,4201.037951,3897,NA,0.039169474,0.153880075,0.257399398,NA,NA,NA,24675,5,94797,5.793741131,8.179312301,2.859949702,1250
Chinook,1998,Skeena,3433.25925,1956,NA,0.032010888,0.125757062,0.210357267,NA,NA,NA,39031,6,412529,5.793741131,8.179312301,2.859949702,1250
Chinook,1998,VIMI,5788.681661,8929,NA,0.053972284,0.212033973,0.354675009,NA,NA,NA,139445,4,30341242,5.793741131,8.179312301,2.859949702,1631
Chinook,1999,CC,6265.253111,3466,NA,0.042907182,0.219899309,0.353984253,NA,NA,NA,35339,5,2889574,4.866282963,7.040747312,2.653440656,1010
Chinook,1999,Fraser,39734.47795,2023,NA,0.272119012,1.394609935,2.244981847,NA,NA,NA,233024,5,5783497,4.866282963,7.040747312,2.653440656,963
Chinook,1999,HG,44073.41639,2111,NA,0.301833952,1.546899004,2.490130105,NA,NA,NA,4800,6,241043,4.866282963,7.040747312,2.653440656,1010
Chinook,1999,Nass,5298.920738,7298,NA,0.036289317,0.185982751,0.299386867,NA,NA,NA,12526,5,155391,4.866282963,7.040747312,2.653440656,1010
Chinook,1999,Skeena,4339.409761,419,NA,0.029718168,0.152305612,0.245174887,NA,NA,NA,46127,6,442477,4.866282963,7.040747312,2.653440656,1010
Chinook,1999,VIMI,17103.52205,5922,NA,0.117132369,0.600303389,0.966342041,NA,NA,NA,92170,4,36799670,4.866282963,7.040747312,2.653440656,1213
Chinook,2000,CC,3351.784105,2107,NA,0.023089955,0.12930375,0.244753527,NA,NA,NA,43540,5,3893182,5.610359267,7.581388151,2.753432068,970
Chinook,2000,Fraser,30248.18924,7696,NA,0.208375396,1.166902218,2.208779198,NA,NA,NA,204369,5,5024199,5.610359267,7.581388151,2.753432068,965
Chinook,2000,HG,9586.325026,1185,NA,0.066038805,0.369817309,0.700011334,NA,NA,NA,5400,6,157697,5.610359267,7.581388151,2.753432068,970
Chinook,2000,Nass,6882.944166,12173,NA,0.047415606,0.265527392,0.502605421,NA,NA,NA,19349,5,107248,5.610359267,7.581388151,2.753432068,970
Chinook,2000,Skeena,13040.9467,8707,NA,0.089837194,0.503088284,0.952274253,NA,NA,NA,65962,6,344800,5.610359267,7.581388151,2.753432068,970
Chinook,2000,VIMI,9470.810762,9085,NA,0.065243044,0.365361047,0.691576267,NA,NA,NA,63590,4,37379311,5.610359267,7.581388151,2.753432068,1249
Chinook,2001,CC,7292.47626,4740,NA,0.050022866,0.221529833,0.364452306,NA,NA,NA,40566,5,3793643,5.487532328,6.544018117,2.558127854,966
Chinook,2001,Fraser,41857.58163,6592,NA,0.287122797,1.271543813,2.09189466,NA,NA,NA,281408,5,4709365,5.487532328,6.544018117,2.558127854,968
Chinook,2001,HG,9604,1130,NA,0.065878802,0.291748981,0.47997413,NA,NA,NA,NA,6,401125,5.487532328,6.544018117,2.558127854,966
Chinook,2001,Nass,8256.67114,11822,NA,0.056636777,0.250820012,0.412639374,NA,NA,NA,32340,5,146258,5.487532328,6.544018117,2.558127854,966
Chinook,2001,Skeena,17332.8526,9873,NA,0.118894999,0.526534994,0.86623499,NA,NA,NA,112794,6,411880,5.487532328,6.544018117,2.558127854,966
Chinook,2001,VIMI,17704.41837,8044,NA,0.12144376,0.537822367,0.88480454,NA,NA,NA,105110,4,32267601,5.487532328,6.544018117,2.558127854,1251
Chinook,2002,CC,23800.45667,6373,NA,0.154466997,0.645126871,1.072182687,NA,NA,NA,33165,5,3960033,5.689460673,6.971882552,2.640432266,972
Chinook,2002,Fraser,97259.71907,9889,NA,0.631223887,2.636287997,4.38143639,NA,NA,NA,316791,5,4708436,5.689460673,6.971882552,2.640432266,961
Chinook,2002,HG,52630.22717,4295,NA,0.341574671,1.426576567,2.37093007,NA,NA,NA,5250,6,135901,5.689460673,6.971882552,2.640432266,972
Chinook,2002,Nass,15932.58568,13285,NA,0.103403842,0.431863106,0.717744318,NA,NA,NA,14804,5,75100,5.689460673,6.971882552,2.640432266,972
Chinook,2002,Skeena,29329.73048,8630,NA,0.190352457,0.795001437,1.321269994,NA,NA,NA,40980,6,440806,5.689460673,6.971882552,2.640432266,972
Chinook,2002,VIMI,42985.28093,12611,NA,0.278978146,1.165144021,1.936436542,NA,NA,NA,135613,4,37644272,5.689460673,6.971882552,2.640432266,1247
Chinook,2003,CC,19457.24061,7651,NA,0.131062899,0.488507171,1.030630982,NA,NA,NA,26327,5,3992256,6.320263224,6.296083641,2.509199801,977
Chinook,2003,Fraser,117443.336,9607,NA,0.791091833,2.948615013,6.220858504,NA,NA,NA,471304,5,4695121,6.320263224,6.296083641,2.509199801,955
Chinook,2003,HG,53851.79313,4598,NA,0.362742708,1.352041003,2.852476749,NA,NA,NA,6000,6,125000,6.320263224,6.296083641,2.509199801,977
Chinook,2003,Nass,25035.78977,13072,NA,0.168639699,0.62856615,1.326121268,NA,NA,NA,28273,5,185463,6.320263224,6.296083641,2.509199801,977
Chinook,2003,Skeena,57734.17649,7570,NA,0.388894228,1.44951485,3.058122794,NA,NA,NA,81489,6,267977,6.320263224,6.296083641,2.509199801,977
Chinook,2003,VIMI,53083.66401,12615,NA,0.357568633,1.332755813,2.811789702,NA,NA,NA,160219,4,34985240,6.320263224,6.296083641,2.509199801,1242
Chinook,2004,CC,30518.92963,9411,NA,0.194404081,1.198825165,2.178945739,NA,NA,3,32379,5,3483262,6.295697976,7.614399994,2.759420228,987
Chinook,2004,Fraser,112937.6624,8961,NA,0.719407355,4.436345356,8.063357438,NA,NA,0,299842,5,3872469,6.295697976,7.614399994,2.759420228,942
Chinook,2004,HG,51030,4604,NA,0.32505859,2.004527973,3.643365033,NA,NA,0,NA,6,203000,6.295697976,7.614399994,2.759420228,987
Chinook,2004,Nass,20165.77243,12371,NA,0.128454979,0.792139035,1.439766218,NA,NA,0,16876,5,70903,6.295697976,7.614399994,2.759420228,987
Chinook,2004,Skeena,84101.29794,6885,NA,0.535721132,3.303613645,6.004541017,NA,NA,0,103256,6,291009,6.295697976,7.614399994,2.759420228,987
Chinook,2004,VIMI,78015.3376,11086,NA,0.496953864,3.064548826,5.570024555,NA,NA,84,164105,4,36484637,6.295697976,7.614399994,2.759420228,1232
Chinook,2005,CC,44587.13039,9261,947,0.283216196,1.699297178,3.3581349,NA,NA,2,36222,5,3463441,6.86878503,9.187925778,3.031159148,999
Chinook,2005,Fraser,98202.07066,7799,1274,0.623776787,3.742660721,7.396210472,NA,NA,0,251758,5,4492978,6.86878503,9.187925778,3.031159148,927
Chinook,2005,HG,40758.0262,5247,276,0.258893834,1.553363006,3.069741179,NA,NA,0,7500,6,206108,6.86878503,9.187925778,3.031159148,999
Chinook,2005,Nass,20171.87298,8816,832,0.128131169,0.768787014,1.519269575,NA,NA,0,15571,5,21037,6.86878503,9.187925778,3.031159148,999
Chinook,2005,Skeena,61163.97044,4363,315,0.388511817,2.331070905,4.606640121,NA,NA,0,56599,6,342402,6.86878503,9.187925778,3.031159148,999
Chinook,2005,VIMI,65722.92934,10046,1620,0.417470196,2.504821176,4.950003752,NA,NA,83,100383,4,28179676,6.86878503,9.187925778,3.031159148,1221
Chinook,2006,CC,37681.64777,6545,592,0.274877979,1.97912145,4.013218495,NA,NA,4,43709,5,3646458,5.663032033,7.898150992,2.810364921,1056
Chinook,2006,Fraser,74582.8894,13302,1921,0.544063095,3.917254285,7.943321189,NA,NA,0,327638,5,2202125,5.663032033,7.898150992,2.810364921,833
Chinook,2006,HG,36335.48132,5473,340,0.265058039,1.908417883,3.869847374,NA,NA,0,7500,6,NA,5.663032033,7.898150992,2.810364921,1056
Chinook,2006,Nass,27554.45235,14945,1244,0.20100268,1.447219294,2.934639124,NA,NA,0,28061,5,NA,5.663032033,7.898150992,2.810364921,1056
Chinook,2006,Skeena,43194.41856,11331,787,0.315092232,2.268664067,4.600346581,NA,NA,0,53760,6,348600,5.663032033,7.898150992,2.810364921,1056
Chinook,2006,VIMI,54821.1106,15501,2276,0.399905975,2.879323021,5.838627237,NA,NA,89,142626,4,27214329,5.663032033,7.898150992,2.810364921,1164
Chinook,2007,CC,20177.467,5445,633,0.146146205,1.096096537,2.484485483,NA,NA,4,28042,5,4120517,5.206310806,7.141912105,2.672435613,1050
Chinook,2007,Fraser,51035.63815,6032,966,0.369653179,2.772398846,6.284104051,NA,NA,0,187633,5,2385882,5.206310806,7.141912105,2.672435613,815
Chinook,2007,HG,17939,3829,267,0.129932898,0.974496738,2.208859273,NA,NA,0,NA,6,243190,5.206310806,7.141912105,2.672435613,1050
Chinook,2007,Nass,18324.95126,9162,1129,0.132728359,0.995462692,2.256382101,NA,NA,0,24964,5,29205,5.206310806,7.141912105,2.672435613,1050
Chinook,2007,Skeena,35434.58174,6047,709,0.256654101,1.924905754,4.363119709,NA,NA,0,60989,6,231874,5.206310806,7.141912105,2.672435613,1050
Chinook,2007,VIMI,50377.36185,7676,1300,0.364885258,2.736639433,6.203049382,NA,NA,84,74708,4,30212688,5.206310806,7.141912105,2.672435613,1170
Chinook,2008,CC,11955.67458,3620,328,0.078564784,0.707083056,1.445592027,NA,NA,6,25222,5,3746663,4.724268708,6.596167933,2.568300593,1050
Chinook,2008,Fraser,64470.40278,5675,964,0.423656837,3.81291153,7.795285795,NA,NA,0,201142,5,2270892,4.724268708,6.596167933,2.568300593,815
Chinook,2008,HG,7412,4009,259,0.048706761,0.438360845,0.896204395,NA,NA,0,NA,6,231287,4.724268708,6.596167933,2.568300593,1050
Chinook,2008,Nass,11674.24393,7516,850,0.076715408,0.690438672,1.411563507,NA,NA,0,22138,5,29794,4.724268708,6.596167933,2.568300593,1050
Chinook,2008,Skeena,21684.08149,6607,580,0.142493438,1.282440946,2.621879268,NA,NA,0,42733,6,274650,4.724268708,6.596167933,2.568300593,1050
Chinook,2008,VIMI,34979.59722,6371,1201,0.229862772,2.06876495,4.229475008,NA,NA,86,80480,4,25577794,4.724268708,6.596167933,2.568300593,1170
Chinook,2009,CC,18171.06236,5468,548,0.118451994,0.93445462,2.118974562,NA,NA,5,26692,5,3727250,5.572014289,9.347464282,3.057362308,1050
Chinook,2009,Fraser,34572.4444,5438,1037,0.225367945,1.777902677,4.031582127,NA,NA,0,225744,5,2461245,5.572014289,9.347464282,3.057362308,815
Chinook,2009,HG,11921,4794,283,0.077709613,0.613042502,1.390138631,NA,NA,0,NA,6,238369,5.572014289,9.347464282,3.057362308,1050
Chinook,2009,Nass,17637.36825,6908,779,0.114972994,0.907009174,2.056739112,NA,NA,0,29576,5,NA,5.572014289,9.347464282,3.057362308,1050
Chinook,2009,Skeena,31552.5694,4103,355,0.205682238,1.622604319,3.679426695,NA,NA,0,57131,6,402085,5.572014289,9.347464282,3.057362308,1050
Chinook,2009,VIMI,24209.5556,6006,1234,0.157815216,1.244986707,2.823138872,NA,NA,85,87461,4,28150133,5.572014289,9.347464282,3.057362308,1170
Chinook,2010,CC,13582.20946,3273,298,0.093145264,0.745162108,1.435989479,NA,NA,6,24686,5,4504019,5.235384795,7.340853828,2.709401009,1045
Chinook,2010,Fraser,67202.70042,12332,1275,0.460868554,3.686948435,7.105056879,NA,NA,0,326698,5,2356232,5.235384795,7.340853828,2.709401009,813
Chinook,2010,HG,32790,4429,307,0.224870129,1.79896103,3.466747818,NA,NA,0,NA,6,305260,5.235384795,7.340853828,2.709401009,1045
Chinook,2010,Nass,11066.81019,5415,766,0.075894938,0.607159508,1.170046968,NA,NA,0,20729,5,70241,5.235384795,7.340853828,2.709401009,1045
Chinook,2010,Skeena,30329.98035,3593,455,0.207999591,1.663996727,3.20666036,NA,NA,0,60705,6,354614,5.235384795,7.340853828,2.709401009,1045
Chinook,2010,VIMI,20009.29958,13577,1458,0.137221524,1.097772192,2.115498495,NA,NA,82,83029,4,28872859,5.235384795,7.340853828,2.709401009,1175
Chinook,2011,CC,24241.16488,4449,575,0.159978122,1.173172895,2.282354542,NA,NA,6,19707,5,4130415,5.577702162,7.126543414,2.669558655,1030
Chinook,2011,Fraser,95748.24007,9467,1255,0.631884801,4.633821871,9.014889823,NA,NA,0,300804,5,2258032,5.577702162,7.126543414,2.669558655,815
Chinook,2011,HG,15326,3082,230,0.101143023,0.741715503,1.442973796,NA,NA,0,NA,6,253944,5.577702162,7.126543414,2.669558655,1030
Chinook,2011,Nass,11981.16376,5648,821,0.079068976,0.579839156,1.128050721,NA,NA,0,10826,5,NA,5.577702162,7.126543414,2.669558655,1030
Chinook,2011,Skeena,27384.67136,4476,536,0.180723506,1.325305708,2.578322013,NA,NA,0,27089,6,356483,5.577702162,7.126543414,2.669558655,1030
Chinook,2011,VIMI,52610.75993,12159,1613,0.347201573,2.546144867,4.953409106,NA,NA,84,94477,4,26451494,5.577702162,7.126543414,2.669558655,1190
Chinook,2012,CC,20094.48242,4947,592,0.156067589,1.196518182,2.471070159,4791.548595,28832.22541,6,12866,5,4395290,4.800310422,8.14641303,2.854192185,1012
Chinook,2012,Fraser,38359.96756,3843,894,0.297929925,2.284129429,4.71722382,106674.076,530538.8392,0,132324,5,2398842,4.800310422,8.14641303,2.854192185,788
Chinook,2012,HG,25904,4858,322,0.201188303,1.542443659,3.18548147,15698.85157,26141.18631,0,NA,6,118686,4.800310422,8.14641303,2.854192185,1012
Chinook,2012,Nass,13130.95172,6897,895,0.101984014,0.78187744,1.614746888,8872.251519,30704.33728,0,9798,5,NA,4.800310422,8.14641303,2.854192185,1012
Chinook,2012,Skeena,25989.56586,5012,568,0.201852867,1.547538645,3.196003723,3569.921586,20043.75486,0,20375,6,376475,4.800310422,8.14641303,2.854192185,1012
Chinook,2012,VIMI,31027.03244,5977,1256,0.240977301,1.847492644,3.815473939,259093.7255,1077012.23,73,67404,4,27806694,4.800310422,8.14641303,2.854192185,1166
Chinook,2013,CC,29597.50779,5841,654,0.272174643,2.152653991,3.043407367,11645.42928,47984.83445,5,39368,5,3020763,5.560729398,8.190734773,2.861945977,982
Chinook,2013,Fraser,20529.87004,3803,890,0.188789883,1.493156349,2.111014149,171920.8898,764572.0267,0,218093,5,2122893,5.560729398,8.190734773,2.861945977,753
Chinook,2013,HG,15843,3589,241,0.145690066,1.152275976,1.629079828,20777.19364,34682.25854,0,NA,6,128100,5.560729398,8.190734773,2.861945977,982
Chinook,2013,Nass,6891.802816,7040,633,0.063376078,0.501247164,0.708659783,12924.08752,41250.53709,0,9034,5,NA,5.560729398,8.190734773,2.861945977,982
Chinook,2013,Skeena,24644.68939,3343,276,0.2266292,1.792430949,2.534126515,8799.017988,34212.04014,0,38634,6,303448,5.560729398,8.190734773,2.861945977,982
Chinook,2013,VIMI,22112.12996,4378,1120,0.20334013,1.60823557,2.273712358,388764.9552,1465902.643,67,134608,4,26602755,5.560729398,8.190734773,2.861945977,1130
Chinook,2014,CC,44350.81241,3872,388,0.342643787,2.669766174,3.569206114,23895.53274,65823.82158,6,30240,5,3976070,6.690331317,7.994708374,2.827491534,966
Chinook,2014,Fraser,80779.4989,17215,1430,0.624083121,4.862647649,6.500865841,212579.7289,712373.0348,0,220520,5,2084080,6.690331317,7.994708374,2.827491534,756
Chinook,2014,HG,55878,4752,278,0.431700086,3.36366317,4.496875895,51182.09377,63380.11293,0,NA,6,134816,6.690331317,7.994708374,2.827491534,966
Chinook,2014,Nass,20386.80429,8663,880,0.157503582,1.227215411,1.640662314,17465.54219,44519.31553,0,12979,5,NA,6.690331317,7.994708374,2.827491534,966
Chinook,2014,Skeena,56477.3833,6060,556,0.436330778,3.39974398,4.545112273,12010.95418,31974.49264,0,40325,6,221474,6.690331317,7.994708374,2.827491534,966
Chinook,2014,VIMI,52776.5011,19503,1643,0.407738646,3.176963617,4.247277562,489686.8947,1448202.397,71,89998,4,22465910,6.690331317,7.994708374,2.827491534,1135
Chinook,2015,CC,41648.92047,5583,717,0.351827923,3.987383132,5.863798723,25399.31958,55422.60993,6,58520,5,3927066,6.790738342,9.734593232,3.120030967,972
Chinook,2015,Fraser,37359.29878,4663,1067,0.315591481,3.576703456,5.259858023,210228.6096,537284.4888,0,367562,5,2172235,6.790738342,9.734593232,3.120030967,753
Chinook,2015,HG,24322,3016,226,0.205459317,2.328538926,3.42432195,66176.11166,75567.28942,0,NA,6,113108,6.790738342,9.734593232,3.120030967,972
Chinook,2015,Nass,14742.11685,6219,663,0.124533561,1.411380353,2.075559342,19773.02239,42947.10111,0,20595,5,NA,6.790738342,9.734593232,3.120030967,972
Chinook,2015,Skeena,32806.96269,3298,354,0.277135768,3.140872036,4.618929464,16694.69839,33430.82483,0,52174,6,263650,6.790738342,9.734593232,3.120030967,972
Chinook,2015,VIMI,26688.70122,6684,1424,0.22545195,2.555122098,3.757532497,476067.7596,1107758.892,73,143040,4,22206266,6.790738342,9.734593232,3.120030967,1132
Chinook,2016,CC,63993.41814,6367,810,0.523194173,6.616867485,8.186450005,16769.27777,60334.64672,6,37317,5,4017619,7.296033557,7.888418443,2.808632842,976
Chinook,2016,Fraser,28111.71658,6415,1188,0.22983436,2.906728673,3.596231754,143370.6086,465313.7334,0,186184,5,2164923,7.296033557,7.888418443,2.808632842,750
Chinook,2016,HG,28032,4500,246,0.229182617,2.898486044,3.586033896,60042.54516,78899.83437,0,NA,6,116780,7.296033557,7.888418443,2.808632842,976
Chinook,2016,Nass,17530.7384,6456,760,0.14332693,1.812664119,2.24264491,13896.20182,42840.85291,0,10191,5,NA,7.296033557,7.888418443,2.808632842,976
Chinook,2016,Skeena,44346.84347,4935,483,0.362568695,4.585427614,5.673133699,9685.026441,30426.35462,0,27061,6,266732,7.296033557,7.888418443,2.808632842,976
Chinook,2016,VIMI,25917.28342,8842,1611,0.211893224,2.679826066,3.315505737,336779.626,973283.1808,71,130634,4,24224552,7.296033557,7.888418443,2.808632842,1133
Chinook,2017,CC,44172.37674,5730,539,0.403776192,4.082078814,6.544128762,17733.79393,46005.96324,5,21422,5,4350832,6.186898823,6.85709924,2.618606355,974
Chinook,2017,Fraser,25090.38783,6158,1115,0.229349245,2.318664925,3.71713593,208633.4288,521863.1593,0,149979,5,2194661,6.186898823,6.85709924,2.618606355,749
Chinook,2017,HG,17972,4679,241,0.164280626,1.660837063,2.662548199,55926.00836,73199.41637,0,NA,6,88300,6.186898823,6.85709924,2.618606355,974
Chinook,2017,Nass,10953.39715,5587,471,0.100124134,1.012230578,1.622743592,17322.7984,51384.79524,0,4984,5,NA,6.186898823,6.85709924,2.618606355,974
Chinook,2017,Skeena,29020.22612,3849,177,0.265271585,2.681831021,4.299340685,12383.44788,35036.85456,0,15143,6,278492,6.186898823,6.85709924,2.618606355,974
Chinook,2017,VIMI,52204.61217,7306,1409,0.477198218,4.824357598,7.734102832,461036.7315,1070395.128,73,125311,4,25391393,6.186898823,6.85709924,2.618606355,1134
Chinook,2018,CC,5098.327963,4981,461,0.050521557,0.477977857,0.779789242,16654.2812,45642.12236,3,429,5,4024927,6.486794176,5.563682741,2.35874601,967
Chinook,2018,Fraser,9170.537294,11043,1448,0.090874856,0.859755157,1.402633644,165456.1477,476860.444,0,124093,5,2352040,6.486794176,5.563682741,2.35874601,746
Chinook,2018,HG,12303,3977,235,0.121915796,1.153429441,1.881743802,39043.35341,67708.39985,0,NA,6,117600,6.486794176,5.563682741,2.35874601,967
Chinook,2018,Nass,18842.09096,4563,492,0.186714501,1.766481544,2.881897739,13244.55189,45001.144,0,16319,5,NA,6.486794176,5.563682741,2.35874601,967
Chinook,2018,Skeena,38635.58108,4043,319,0.382856832,3.622158552,5.909311976,8928.616913,31398.5128,0,33462,6,240377,6.486794176,5.563682741,2.35874601,967
Chinook,2018,VIMI,32001.46271,12025,1723,0.317116458,3.00019745,4.894623597,385770.0517,980301.4659,74,126230,4,25427750,6.486794176,5.563682741,2.35874601,1131
Chinook,2019,CC,6601.33099,3545,433,0.094406628,0.551054982,1.132879532,17263.8207,45366.37357,5,686,5,3975111,7.241381418,5.848779372,2.418424977,964
Chinook,2019,Fraser,0,626,114,0,0,0,117098.422,383396.8107,0,NA,5,2123540,7.241381418,5.848779372,2.418424977,730
Chinook,2019,HG,18507,3471,249,0.264671391,1.544896714,3.176056696,50067.12237,65408.2822,0,NA,6,218000,7.241381418,5.848779372,2.418424977,964
Chinook,2019,Nass,8790.588341,3250,339,0.125715526,0.733806184,1.508586317,16044.55528,38452.11518,0,11833,5,NA,7.241381418,5.848779372,2.418424977,964
Chinook,2019,Skeena,14994.08067,2573,164,0.214432603,1.251651048,2.573191242,11601.70989,27500.69307,0,20195,6,321484,7.241381418,5.848779372,2.418424977,964
Chinook,2019,VIMI,45505,1436,354,0.650773851,3.798591072,7.809286214,293619.4371,824233.6037,76,NA,4,24734229,7.241381418,5.848779372,2.418424977,1103
Chinook,2020,CC,4874.62632,2547,348,0.08407907,0.627116071,1.042454033,4713.884441,13689.83554,4,1922,5,4303601,6.640011302,7.637432493,2.763590508,951
Chinook,2020,Fraser,0,2380,619,0,0,0,72948.07245,344533.9175,0,NA,5,2383929,6.640011302,7.637432493,2.763590508,713
Chinook,2020,HG,17325,2760,232,0.298826985,2.228844882,3.705005252,7801.496801,12153.82291,0,NA,6,210000,6.640011302,7.637432493,2.763590508,951
Chinook,2020,Nass,5545.955133,2073,268,0.095658358,0.713481888,1.186019792,8345.651181,27954.83418,0,14315,5,NA,6.640011302,7.637432493,2.763590508,951
Chinook,2020,Skeena,6480.418548,2051,253,0.111776273,0.833699724,1.385857706,5889.598609,19385.60654,0,16727,6,315893,6.640011302,7.637432493,2.763590508,951
Chinook,2020,VIMI,42883,2912,826,0.739659313,5.516857436,9.170663217,179512.4694,721201.7318,71,NA,4,29846447,6.640011302,7.637432493,2.763590508,1088
Chinook,2021,CC,1684,1851,150,0.027036026,0.237985909,0.44583612,6501.594503,19085.75701,4,NA,5,4033308,6.079160826,6.367231167,2.523337307,950
Chinook,2021,Fraser,0,829,88,0,0,0,88524.37175,327290.3968,0,NA,5,2370469,6.079160826,6.367231167,2.523337307,709
Chinook,2021,HG,33839,2746,208,0.543273205,4.78218834,8.958817376,22368.09241,35270.7036,0,NA,6,291646,6.079160826,6.367231167,2.523337307,950
Chinook,2021,Nass,30631,1761,124,0.491769897,4.328828011,8.109504862,9079.249133,37308.12259,0,12742,5,NA,6.079160826,6.367231167,2.523337307,950
Chinook,2021,Skeena,0,1689,101,0,0,0,6769.443646,26405.74905,0,NA,NA,NA,NA,NA,NA,950
Chinook,2021,VIMI,31637,1789,331,0.507920872,4.47099774,8.375841642,236187.6142,713474.7433,68,NA,4,24773203,6.079160826,6.367231167,2.523337307,1083
Chinook,2022,CC,396,1817,126,0.006260399,0.048752969,0.092631936,11425.06798,36092.98958,4,NA,NA,NA,NA,NA,NA,946
Chinook,2022,Fraser,0,1011,278,0,0,0,104958.5051,332952.3864,0,NA,5,2367223,6.1157838,7.227019886,2.688311717,706
Chinook,2022,HG,19141,2333,173,0.302601741,2.356516593,4.477444136,26886.40695,50526.75442,0,NA,NA,NA,NA,NA,NA,946
Chinook,2022,Nass,38338,3692,275,0.60608879,4.719927546,8.967987738,6400.819386,36190.69123,0,18204,5,NA,6.1157838,7.227019886,2.688311717,946
Chinook,2022,Skeena,0,3660,261,0,0,0,4878.379087,26826.25002,0,NA,NA,NA,NA,NA,NA,946
Chinook,2022,VIMI,28531,2352,434,0.451049071,3.512552893,6.67394382,267961.8839,733699.1496,56,NA,NA,NA,NA,NA,NA,1079
Chinook,2023,CC,517,1686,121,0.0139613,0.103532684,0.202167952,14911.71131,34498.89661,NA,NA,NA,NA,NA,NA,NA,836
Chinook,2023,Fraser,0,441,94,0,0,0,121445.7958,388602.6646,NA,NA,NA,NA,NA,NA,NA,635
Chinook,2023,HG,24978,2288,166,0.674517134,5.002010408,9.767410252,30866.64904,51328.42238,NA,NA,NA,NA,NA,NA,NA,836
Chinook,2023,Nass,0,3769,366,0,0,0,8770.633044,35854.87288,NA,NA,NA,NA,NA,NA,NA,836
Chinook,2023,Skeena,0,3458,318,0,0,0,6804.932354,26693.05086,NA,NA,NA,NA,NA,NA,NA,836
Chinook,2023,VIMI,29570,1536,237,0.798521565,5.921588908,11.56306835,296798.5987,814024.4427,NA,NA,NA,NA,NA,NA,NA,986
Chum,1996,CC,410924.8423,11676,NA,NA,NA,NA,NA,NA,NA,1095943,4,13078961,6.090548464,6.530000216,2.55538651,NA
Chum,1996,Fraser,0,1686,NA,NA,NA,NA,NA,NA,NA,NA,4,24744035,6.090548464,6.530000216,2.55538651,NA
Chum,1996,HG,130476.1178,6457,NA,NA,NA,NA,NA,NA,NA,416055,5,2980221,6.090548464,6.530000216,2.55538651,NA
Chum,1996,Nass,331261.6138,29528,NA,NA,NA,NA,NA,NA,NA,35181,4,10000,6.090548464,6.530000216,2.55538651,NA
Chum,1996,Skeena,47589.42614,24258,NA,NA,NA,NA,NA,NA,NA,16881,4,NA,6.090548464,6.530000216,2.55538651,NA
Chum,1996,VIMI,477948,16545,NA,NA,NA,NA,NA,NA,NA,866013,4,63906457,6.090548464,6.530000216,2.55538651,NA
Chum,1997,CC,336188.8028,12559,NA,1.571980471,1.174468168,6.522815518,NA,NA,NA,873336,4,12078392,6.215470205,8.945723926,2.990940308,NA
